"","V1"
"2498",1
"2499",5
"2500",1
"2501",5
"2502",1
"2503",1
"2504",1
"2505",2
"2506",5
"2507",1
"2508",3
"2509",1
"2510",1
"2511",1
"2512",3
"2513",1
"2514",1
"2515",1
"2516",4
"2517",1
"2518",1
"2519",4
"2520",1
"2521",1
"2522",1
"2523",1
"2524",3
"2525",1
"2526",2
"2527",2
"2528",5
"2529",1
"2530",1
"2531",1
"2532",5
"2533",1
"2534",1
"2535",1
"2536",1
"2537",4
"2538",4
"2539",1
"2540",1
"2541",1
"2542",1
"2543",1
"2544",5
"2545",5
"2546",1
"2547",5
"2548",2
"2549",3
"2550",3
"2551",2
"2552",4
"2553",3
"2554",2
"2555",2
"2556",2
"2557",2
"2558",2
"2559",2
"2560",1
"2561",2
"2562",4
"2563",4
"2564",2
"2565",4
"2566",2
"2567",4
"2568",4
"2569",1
"2570",2
"2571",2
"2572",5
"2573",1
"2574",2
"2575",1
"2576",2
"2577",4
"2578",1
"2579",2
"2580",1
"2581",1
"2582",2
"2583",2
"2584",1
"2585",2
"2586",3
"2587",3
"2588",2
"2589",2
"2590",1
"2591",1
"2592",2
"2593",4
"2594",1
"2595",1
"2596",1
"2597",1
"2598",1
"2599",1
"2600",1
"2601",1
"2602",5
"2603",1
"2604",2
"2605",1
"2606",1
"2607",1
"2608",1
"2609",2
"2610",4
"2611",2
"2612",2
"2613",2
"2614",1
"2615",1
"2616",2
"2617",1
"2618",1
"2619",1
"2620",1
"2621",1
"2622",2
"2623",5
"2624",3
"2625",1
"2626",1
"2627",2
"2628",1
"2629",1
"2630",2
"2631",1
"2632",1
"2633",3
"2634",2
"2635",1
"2636",1
"2637",1
"2638",3
"2639",2
"2640",3
"2641",4
"2642",5
"2643",4
"2644",4
"2645",4
"2646",1
"2647",2
"2648",2
"2649",2
"2650",4
"2651",1
"2652",3
"2653",2
"2654",4
"2655",1
"2656",4
"2657",4
"2658",5
"2659",1
"2660",4
"2661",2
"2662",3
"2663",3
"2664",4
"2665",3
"2666",1
"2667",3
"2668",2
"2669",3
"2670",3
"2671",2
"2672",3
"2673",4
"2674",5
"2675",4
"2676",3
"2677",2
"2678",3
"2679",3
"2680",3
"2681",2
"2682",2
"2683",3
"2684",1
"2685",5
"2686",1
"2687",2
"2688",4
"2689",1
"2690",1
"2691",1
"2692",2
"2693",2
"2694",3
"2695",2
"2696",2
"2697",1
"2698",5
"2699",2
"2700",4
"2701",1
"2702",1
"2703",2
"2704",2
"2705",2
"2706",3
"2707",3
"2708",3
"2709",2
"2710",2
"2711",4
"2712",5
"2713",2
"2714",3
"2715",3
"2716",2
"2717",2
"2718",1
"2719",3
"2720",3
"2721",2
"2722",4
"2723",2
"2724",2
"2725",2
"2726",1
"2727",1
"2728",5
"2729",5
"2730",5
"2731",1
"2732",5
"2733",1
"2734",1
"2735",1
"2736",1
"2737",1
"2738",2
"2739",1
"2740",1
"2741",1
"2742",1
"2743",4
"2744",2
"2745",2
"2746",1
"2747",1
"2748",1
"2749",1
"2750",2
"2751",2
"2752",1
"2753",1
"2754",1
"2755",2
"2756",2
"2757",1
"2758",2
"2759",1
"2760",1
"2761",1
"2762",1
"2763",1
"2764",1
"2765",1
"2766",3
"2767",1
"2768",5
"2769",1
"2770",1
"2771",1
"2772",1
"2773",1
"2774",1
"2775",1
"2776",1
"2777",2
"2778",1
"2779",1
"2780",1
"2781",5
"2782",1
"2783",4
"2784",2
"2785",1
"2786",1
"2787",2
"2788",1
"2789",1
"2790",2
"2791",1
"2792",5
"2793",1
"2794",1
"2795",1
"2796",2
"2797",5
"2798",1
"2799",2
"2800",3
"2801",3
"2802",3
"2803",1
"2804",5
"2805",1
"2806",1
"2807",5
"2808",1
"2809",3
"2810",3
"2811",3
"2812",2
"2813",2
"2814",1
"2815",2
"2816",4
"2817",5
"2818",3
"2819",4
"2820",4
"2821",4
"2822",4
"2823",1
"2824",4
"2825",1
"2826",2
"2827",1
"2828",5
"2829",2
"2830",3
"2831",1
"2832",2
"2833",1
"2834",1
"2835",1
"2836",1
"2837",3
"2838",1
"2839",1
"2840",1
"2841",1
"2842",1
"2843",2
"2844",1
"2845",1
"2846",1
"2847",1
"2848",1
"2849",1
"2850",1
"2851",1
"2852",1
"2853",1
"2854",1
"2855",2
"2856",1
"2857",1
"2858",1
"2859",1
"2860",4
"2861",2
"2862",3
"2863",1
"2864",4
"2865",2
"2866",2
"2867",3
"2868",3
"2869",3
"2870",1
"2871",2
"2872",2
"2873",4
"2874",1
"2875",1
"2876",1
"2877",1
"2878",4
"2879",3
"2880",2
"2881",2
"2882",4
"2883",1
"2884",3
"2885",2
"2886",2
"2887",4
"2888",3
"2889",1
"2890",2
"2891",1
"2892",2
"2893",1
"2894",1
"2895",1
"2896",2
"2897",1
"2898",1
"2899",1
"2900",2
"2901",2
"2902",2
"2903",1
"2904",1
"2905",1
"2906",2
"2907",3
"2908",1
"2909",1
"2910",1
"2911",3
"2912",4
"2913",4
"2914",4
"2915",1
"2916",2
"2917",4
"2918",2
"2919",1
"2920",4
"2921",2
"2922",2
"2923",2
"2924",2
"2925",1
"2926",1
"2927",1
"2928",1
"2929",4
"2930",4
"2931",1
"2932",4
"2933",1
"2934",4
"2935",4
"2936",1
"2937",4
"2938",2
"2939",4
"2940",1
"2941",1
"2942",2
"2943",2
"2944",1
"2945",1
"2946",1
"2947",2
"2948",1
"2949",1
"2950",1
"2951",5
"2952",1
"2953",1
"2954",1
"2955",1
"2956",1
"2957",1
"2958",1
"2959",2
"2960",1
"2961",1
"2962",5
"2963",4
"2964",1
"2965",1
"2966",1
"2967",1
"2968",4
"2969",1
"2970",1
"2971",1
"2972",4
"2973",1
"2974",2
"2975",1
"2976",1
"2977",1
"2978",1
"2979",1
"2980",2
"2981",1
"2982",1
"2983",1
"2984",4
"2985",1
"2986",4
"2987",1
"2988",2
"2989",1
"2990",1
"2991",1
"2992",1
"2993",1
"2994",1
"2995",1
"2996",1
"2997",4
"2998",3
"2999",1
"3000",1
"3001",2
"3002",1
"3003",1
"3004",2
"3005",5
"3006",1
"3007",2
"3008",1
"3009",4
"3010",1
"3011",1
"3012",2
"3013",2
"3014",3
"3015",3
"3016",3
"3017",3
"3018",3
"3019",1
"3020",2
"3021",4
"3022",2
"3023",3
"3024",4
"3025",3
"3026",2
"3027",4
"3028",1
"3029",1
"3030",3
"3031",1
"3032",2
"3033",4
"3034",1
"3035",1
"3036",2
"3037",2
"3038",1
"3039",1
"3040",5
"3041",2
"3042",4
"3043",2
"3044",3
"3045",3
"3046",1
"3047",1
"3048",5
"3049",3
"3050",3
"3051",2
"3052",4
"3053",3
"3054",3
"3055",3
"3056",3
"3057",1
"3058",1
"3059",5
"3060",1
"3061",1
"3062",5
"3063",2
"3064",5
"3065",4
"3066",3
"3067",2
"3068",1
"3069",4
"3070",2
"3071",2
"3072",4
"3073",1
"3074",1
"3075",2
"3076",4
"3077",2
"3078",5
"3079",4
"3080",1
"3081",1
"3082",2
"3083",2
"3084",1
"3085",4
"3086",2
"3087",2
"3088",2
"3089",4
"3090",4
"3091",2
"3092",2
"3093",4
"3094",2
"3095",1
"3096",3
"3097",3
"3098",2
"3099",1
"3100",2
"3101",4
"3102",3
"3103",1
"3104",2
"3105",3
"3106",1
"3107",2
"3108",4
"3109",1
"3110",2
"3111",3
"3112",3
"3113",3
"3114",2
"3115",3
"3116",4
"3117",4
"3118",3
"3119",1
"3120",3
"3121",1
"3122",2
"3123",4
"3124",4
"3125",2
"3126",1
"3127",3
"3128",5
"3129",1
"3130",2
"3131",4
"3132",2
"3133",4
"3134",1
"3135",2
"3136",2
"3137",1
"3138",2
"3139",1
"3140",1
"3141",2
"3142",2
"3143",2
"3144",4
"3145",4
"3146",2
"3147",1
"3148",1
"3149",1
"3150",5
"3151",3
"3152",1
"3153",1
"3154",1
"3155",1
"3156",1
"3157",3
"3158",1
"3159",1
"3160",1
"3161",5
"3162",2
"3163",1
"3164",2
"3165",1
"3166",4
"3167",4
"3168",2
"3169",1
"3170",2
"3171",5
"3172",3
"3173",3
"3174",4
"3175",1
"3176",4
"3177",3
"3178",4
"3179",2
"3180",2
"3181",4
"3182",2
"3183",1
"3184",1
"3185",1
"3186",1
"3187",2
"3188",1
"3189",1
"3190",1
"3191",1
"3192",4
"3193",4
"3194",4
"3195",3
"3196",2
"3197",2
"3198",1
"3199",1
"3200",2
"3201",1
"3202",1
"3203",2
"3204",3
"3205",1
"3206",1
"3207",1
"3208",1
"3209",1
"3210",3
"3211",2
"3212",1
"3213",3
"3214",1
"3215",4
"3216",1
"3217",1
"3218",1
"3219",3
"3220",2
"3221",3
"3222",3
"3223",4
"3224",5
"3225",3
"3226",3
"3227",1
"3228",1
"3229",2
"3230",2
"3231",1
"3232",1
"3233",1
"3234",1
"3235",1
"3236",1
"3237",2
"3238",1
"3239",1
"3240",1
"3241",1
"3242",1
"3243",3
"3244",1
"3245",1
"3246",2
"3247",1
"3248",1
"3249",2
"3250",2
"3251",1
"3252",1
"3253",4
"3254",1
"3255",2
"3256",1
"3257",5
"3258",4
"3259",1
"3260",3
"3261",2
"3262",2
"3263",1
"3264",1
"3265",1
"3266",1
"3267",1
"3268",1
"3269",5
"3270",1
"3271",2
"3272",4
"3273",1
"3274",4
"3275",1
"3276",1
"3277",1
"3278",4
"3279",1
"3280",4
"3281",1
"3282",2
"3283",1
"3284",2
"3285",2
"3286",2
"3287",2
"3288",1
"3289",1
"3290",5
"3291",1
"3292",2
"3293",1
"3294",3
"3295",1
"3296",2
"3297",1
"3298",2
"3299",1
"3300",4
"3301",3
"3302",4
"3303",1
"3304",3
"3305",2
"3306",1
"3307",2
"3308",2
"3309",4
"3310",1
"3311",2
"3312",2
"3313",2
"3314",2
"3315",3
"3316",4
"3317",2
"3318",1
"3319",2
"3320",3
"3321",1
"3322",4
"3323",1
"3324",1
"3325",3
"3326",3
"3327",3
"3328",1
"3329",2
"3330",3
"3331",1
"3332",2
"3333",1
"3334",4
"3335",1
"3336",1
"3337",4
"3338",4
"3339",2
"3340",1
"3341",2
"3342",3
"3343",4
"3344",3
"3345",1
"3346",2
"3347",4
"3348",3
"3349",1
"3350",3
"3351",2
"3352",2
"3353",3
"3354",2
"3355",2
"3356",1
"3357",1
"3358",2
"3359",3
"3360",1
"3361",3
"3362",1
"3363",1
"3364",3
"3365",1
"3366",1
"3367",3
"3368",3
"3369",4
"3370",1
"3371",1
"3372",1
"3373",4
"3374",1
"3375",1
"3376",1
"3377",3
"3378",1
"3379",2
"3380",2
"3381",3
"3382",1
"3383",1
"3384",4
"3385",1
"3386",1
"3387",4
"3388",1
"3389",2
"3390",1
"3391",2
"3392",1
"3393",3
"3394",5
"3395",3
"3396",3
"3397",3
"3398",1
"3399",1
"3400",2
"3401",4
"3402",1
"3403",2
"3404",1
"3405",1
"3406",2
"3407",1
"3408",3
"3409",2
"3410",3
"3411",3
"3412",2
"3413",2
"3414",3
"3415",1
"3416",1
"3417",1
"3418",3
"3419",3
"3420",1
"3421",1
"3422",3
"3423",4
"3424",1
"3425",1
"3426",1
"3427",2
"3428",1
"3429",5
"3430",1
"3431",1
"3432",1
"3433",1
"3434",1
"3435",1
"3436",1
"3437",1
"3438",1
"3439",4
"3440",4
"3441",5
"3442",5
"3443",5
"3444",1
"3445",4
"3446",4
"3447",1
"3448",1
"3449",1
"3450",1
"3451",1
"3452",3
"3453",1
"3454",4
"3455",1
"3456",1
"3457",1
"3458",1
"3459",1
"3460",1
"3461",1
"3462",2
"3463",2
"3464",1
"3465",1
"3466",4
"3467",2
"3468",4
"3469",3
"3470",1
"3471",3
"3472",4
"3473",1
"3474",5
"3475",3
"3476",1
"3477",1
"3478",1
"3479",3
"3480",1
"3481",1
"3482",1
"3483",1
"3484",1
"3485",1
"3486",1
"3487",1
"3488",3
"3489",2
"3490",3
"3491",4
"3492",4
"3493",2
"3494",2
"3495",4
"3496",3
"3497",1
"3498",4
"3499",4
"3500",3
"3501",5
"3502",1
"3503",3
"3504",3
"3505",5
"3506",2
"3507",5
"3508",1
"3509",1
"3510",1
"3511",1
"3512",4
"3513",1
"3514",2
"3515",2
"3516",2
"3517",4
"3518",2
"3519",1
"3520",1
"3521",4
"3522",1
"3523",1
"3524",1
"3525",4
"3526",1
"3527",2
"3528",1
"3529",2
"3530",2
"3531",2
"3532",2
"3533",2
"3534",3
"3535",1
"3536",1
"3537",1
"3538",1
"3539",2
"3540",1
"3541",1
"3542",1
"3543",1
"3544",1
"3545",4
"3546",2
"3547",2
"3548",4
"3549",1
"3550",5
"3551",2
"3552",2
"3553",1
"3554",2
"3555",1
"3556",3
"3557",5
"3558",1
"3559",1
"3560",1
"3561",3
"3562",3
"3563",1
"3564",1
"3565",2
"3566",2
"3567",1
"3568",5
"3569",2
"3570",5
"3571",1
"3572",3
"3573",2
"3574",1
"3575",3
"3576",1
"3577",4
"3578",2
"3579",2
"3580",2
"3581",3
"3582",1
"3583",3
"3584",1
"3585",1
"3586",1
"3587",4
"3588",4
"3589",4
"3590",3
"3591",4
"3592",4
"3593",4
"3594",1
"3595",4
"3596",4
"3597",4
"3598",4
"3599",1
"3600",2
"3601",5
"3602",4
"3603",5
"3604",1
"3605",1
"3606",2
"3607",4
"3608",1
"3609",2
"3610",2
"3611",4
"3612",3
"3613",4
"3614",1
"3615",2
"3616",1
"3617",2
"3618",2
"3619",1
"3620",2
"3621",2
"3622",1
"3623",1
"3624",2
"3625",1
"3626",1
"3627",5
"3628",4
"3629",5
"3630",1
"3631",2
"3632",2
"3633",2
"3634",2
"3635",1
"3636",2
"3637",1
"3638",2
"3639",1
"3640",1
"3641",1
"3642",1
"3643",3
"3644",3
"3645",3
"3646",4
"3647",1
"3648",2
"3649",5
"3650",3
"3651",3
"3652",1
"3653",4
"3654",4
"3655",3
"3656",4
"3657",3
"3658",1
"3659",1
"3660",1
"3661",1
"3662",1
"3663",2
"3664",1
"3665",1
"3666",4
"3667",2
"3668",3
"3669",5
"3670",1
"3671",3
"3672",1
"3673",1
"3674",1
"3675",1
"3676",2
"3677",2
"3678",1
"3679",1
"3680",3
"3681",4
"3682",1
"3683",1
"3684",2
"3685",1
"3686",1
"3687",1
"3688",1
"3689",1
"3690",4
"3691",1
"3692",1
"3693",1
"3694",1
"3695",2
"3696",1
"3697",1
"3698",5
"3699",2
"3700",2
"3701",2
"3702",2
"3703",2
"3704",2
"3705",1
"3706",1
"3707",1
"3708",1
"3709",4
"3710",5
"3711",1
"3712",4
"3713",5
"3714",2
"3715",4
"3716",2
"3717",4
"3718",4
"3719",1
"3720",2
"3721",4
"3722",2
"3723",2
"3724",2
"3725",2
"3726",4
"3727",4
"3728",2
"3729",1
"3730",1
"3731",4
"3732",4
"3733",1
"3734",4
"3735",4
"3736",4
"3737",2
"3738",4
"3739",1
"3740",4
"3741",4
"3742",1
"3743",3
"3744",2
"3745",1
"3746",4
"3747",4
"3748",1
"3749",2
"3750",1
"3751",3
"3752",5
"3753",2
"3754",1
"3755",1
"3756",1
"3757",1
"3758",4
"3759",2
"3760",4
"3761",5
"3762",4
"3763",1
"3764",4
"3765",2
"3766",2
"3767",2
"3768",1
"3769",2
"3770",2
"3771",2
"3772",1
"3773",2
"3774",2
"3775",2
"3776",2
"3777",3
"3778",1
"3779",2
"3780",1
"3781",2
"3782",1
"3783",4
"3784",1
"3785",1
"3786",1
"3787",1
"3788",2
"3789",1
"3790",2
"3791",1
"3792",1
"3793",3
"3794",1
"3795",2
"3796",4
"3797",5
"3798",2
"3799",4
"3800",1
"3801",1
"3802",2
"3803",1
"3804",4
"3805",1
"3806",2
"3807",4
"3808",4
"3809",2
"3810",1
"3811",4
"3812",4
"3813",1
"3814",4
"3815",5
"3816",2
"3817",1
"3818",1
"3819",1
"3820",1
"3821",4
"3822",1
"3823",4
"3824",3
"3825",2
"3826",1
"3827",4
"3828",1
"3829",2
"3830",4
"3831",4
"3832",1
"3833",1
"3834",1
"3835",1
"3836",4
"3837",2
"3838",2
"3839",1
"3840",1
"3841",2
"3842",2
"3843",2
"3844",1
"3845",1
"3846",2
"3847",1
"3848",2
"3849",2
"3850",2
"3851",3
"3852",1
"3853",1
"3854",3
"3855",2
"3856",1
"3857",3
"3858",3
"3859",5
"3860",3
"3861",3
"3862",2
"3863",2
"3864",2
"3865",4
"3866",1
"3867",2
"3868",3
"3869",2
"3870",2
"3871",1
"3872",3
